ID,T_SNR,R_SNR,P_SNR,B_SNR,L_SNRAS,Psi,Penalty,Outcome,Rank,Runtime,RawFilename
TIC\_261136679\_TESS\_sector\_24,41.4607538333033,43.7899105427646,8.32670168859329,143.246962974928,30.2745053683024,0.447002264341341,36.9494012500466,Flagged,2,0.000532,TIC_261136679_TESS_sector_24.fits
TIC\_261136679\_TESS\_sector\_32,37.8409231720007,40.291271661584,7.12022000522128,139.737255619214,27.4770359212145,0.458172001179712,37.7183597259283,Flagged,2,0.000197,TIC_261136679_TESS_sector_32.fits
KIC\_8462852\_Kepler\_quarter\_14,33.0437061696897,30.2300484287862,6.21331600417382,199.349276110579,23.8545774411691,0.469929563295594,38.5214483517184,Flagged,2,8.6e-05,KIC_8462852_Kepler_quarter_14.fits
Kepler\_Q13,33.0437061696897,30.2300484287862,6.21331600417382,199.349276110579,23.8545774411691,0.469929563295594,38.5214483517184,Flagged,2,6.9e-05,Kepler_Q13.fits
TIC\_261136679\_TESS\_sector\_17,26.19377798266,27.2979779730688,7.16577106344005,94.2394501102793,18.7936298763634,0.482542202955309,39.3758318908034,Flagged,2,0.000195,TIC_261136679_TESS_sector_17.fits
TIC\_261136679\_TESS\_sector\_50,20.1016945360645,22.5939578930895,8.31374901732684,76.3543391559416,14.3563749701177,0.492112522616973,40.0192916241429,Flagged,2,6.1e-05,TIC_261136679_TESS_sector_50.fits
TIC\_261136679\_TESS\_sector\_31,30.2225839696878,32.7048695118976,7.29354451291649,109.957349554427,21.582133868715,0.492349887637656,40.0351983429119,Flagged,2,0.000147,TIC_261136679_TESS_sector_31.fits
TIC\_261136679\_TESS\_sector\_49,10.1861757020323,10.7149530976976,5.26839365386857,36.683390467358,7.27302870792006,0.492632157834426,40.0541110327245,Flagged,2,5.1e-05,TIC_261136679_TESS_sector_49.fits
TIC\_261136679\_TESS\_sector\_27,24.6267873077487,25.5253907216218,6.55805822509143,85.765295603899,17.5163725864127,0.500696951414353,40.5929634475319,Flagged,2,0.000146,TIC_261136679_TESS_sector_27.fits
TIC\_261136679\_TESS\_sector\_21,77.9924514269179,82.5655596832537,7.86630632810672,336.891817123067,55.2384924847376,0.509716909998454,41.1922156428641,Flagged,2,0.000568,TIC_261136679_TESS_sector_21.fits
TIC\_261136679\_TESS\_sector\_54,22.9857240313341,24.753349965062,8.06999915930239,86.8503831919933,16.2680941497322,0.511243486811588,41.2932813135486,Flagged,2,7.4e-05,TIC_261136679_TESS_sector_54.fits
TIC\_261136679\_TESS\_sector\_38,36.9473889002371,38.7559721182606,7.47262331299512,133.852407066466,26.1457371588091,0.511545175906213,41.3132422919225,Flagged,2,0.000139,TIC_261136679_TESS_sector_38.fits
KIC\_8462852\_Kepler\_quarter\_5,25.6385797916066,25.4686001489116,3.82832783138761,94.8778904771068,18.0819366288467,0.518785743779923,41.7911162828904,Flagged,2,6.2e-05,KIC_8462852_Kepler_quarter_5.fits
Kepler\_Q4,25.6385797916066,25.4686001489116,3.82832783138761,94.8778904771068,18.0819366288467,0.518785743779923,41.7911162828904,Flagged,2,6e-05,Kepler_Q4.fits
TIC\_261136679\_TESS\_sector\_13,33.9004145153595,36.873508113734,8.95564680741174,115.500599149204,23.8995454053711,0.519610976471373,41.845436556885,Flagged,2,0.000599,TIC_261136679_TESS_sector_13.fits
TIC\_261136679\_TESS\_sector\_30,26.1155795860422,26.7786591093511,6.32115634736371,94.576098233008,18.2978643884382,0.533031904670172,42.7247411591033,Flagged,2,0.000135,TIC_261136679_TESS_sector_30.fits
TIC\_261136679\_TESS\_sector\_11,29.6439247268595,30.5980029136525,8.32195112020263,106.560153541436,20.7245335477242,0.537839301451685,43.0378380222447,Flagged,2,0.000156,TIC_261136679_TESS_sector_11.fits
TIC\_261136679\_TESS\_sector\_41,22.8454865849932,23.9333931876861,7.1281780732184,80.5305562016375,15.9265416950972,0.544080488051073,43.4428579810643,Flagged,2,0.000205,TIC_261136679_TESS_sector_41.fits
TESS\_S13,26.6415371801279,27.6810107516387,8.69739305073937,93.1935900808073,18.5615367379876,0.545440230416071,43.5308808542993,Flagged,2,0.000173,TESS_S13.fits
TIC\_261136679\_TESS\_sector\_6,25.8118791541315,26.934781323442,8.70017688090178,90.661737260652,17.9703235695449,0.547067806903814,43.6361401854554,Flagged,2,0.000199,TIC_261136679_TESS_sector_6.fits
TIC\_261136679\_TESS\_sector\_56,17.8650344617831,17.9494665536149,6.12715447545718,61.4181126228814,12.412289641941,0.551623951480342,43.9302093097905,Flagged,2,0.000102,TIC_261136679_TESS_sector_56.fits
TIC\_261136679\_TESS\_sector\_66,2.49389826118498,45.6477667155528,0.789895025017807,1.96632385613186,1.7206778821806,0.567323876188966,44.9369627524056,Flagged,2,4.1e-05,TIC_261136679_TESS_sector_66.fits
KIC\_8462852\_Kepler\_quarter\_13,47.6417156208542,49.1374642428007,4.98357426013164,215.429633795026,32.8122440142785,0.571372320744018,45.1949327212199,Flagged,2,7.5e-05,KIC_8462852_Kepler_quarter_13.fits
