Filename,SourceType,Label,Label_Source,N_total,N_in,N_out,Depth_ppm,T_SNR,R_SNR,P_SNR,B_SNR,L_SNRAS,Psi,Penalty_pct,Suppression_pct,Tier,Transit_Expected,T_start_BTJD,T_end_BTJD
TIC_261136679_TESS_sector_36.fits,TESS_fits,1,ephemeris_confirmed,92859,786,92073,245.219886176318,31.248973510371,32.5542470892704,2.92866396531287,34.829823214337,29.0615913152367,0.0781721105752004,7.5267117048315,6.99985295327626,Tier 1,1,3883.08575165543,3907.07633878868
TIC_261136679_TESS_sector_37.fits,TESS_fits,1,ephemeris_confirmed,97638,1575,96063,265.998264430078,47.4134085284984,49.9076786884309,2.65760316491386,56.6439224306216,45.9866743827442,0.0315112369079234,3.10249472244848,3.00913642371156,Tier 1,1,3830.28331865704,3855.09058034555
TIC_261136679_TESS_sector_38.fits,TESS_fits,1,ephemeris_confirmed,15353,260,15093,291.991461647045,35.4051311507707,37.6206481234646,5.01414268308746,77.7358209890519,34.0573364164427,0.0403677796324828,3.9574284901426,3.80677797404141,Tier 1,1,3857.08166176197,3881.14260469296
TIC_261136679_TESS_sector_39.fits,TESS_fits,1,ephemeris_confirmed,15771,263,15508,300.224462233434,34.6578988381241,37.4132587618068,5.2946097600998,74.063560445396,31.5576203638546,0.10322955032375,9.82418331459667,8.94537343059937,Tier 1,1,3830.56075193911,3855.04972409551
TIC_261136679_TESS_sector_4.fits,TESS_fits,1,ephemeris_confirmed,14913,261,14652,298.896704018614,27.0694085157203,28.8177311336369,3.64909085644191,45.3548396901206,25.6007029876049,0.0590473041230568,5.73697342930957,5.42570232837714,Tier 1,1,1599.15188231818,1623.89258557597
TIC_261136679_TESS_sector_40.fits,TESS_fits,1,ephemeris_confirmed,20256,327,19929,283.665430449109,30.6720185691658,31.8152852778191,3.55724344092694,52.0229910589952,28.2465515751546,0.0896621787362927,8.5867720438648,7.90775145281608,Tier 1,1,3718.13774519492,3746.94390086255
TIC_261136679_TESS_sector_41.fits,TESS_fits,1,ephemeris_confirmed,14096,196,13900,302.471846783559,25.3580329584704,26.8142312497887,4.10281519758521,45.9290560909946,21.73618905817,0.181313983931574,16.6627364650155,14.282826693348,Tier 2,1,3694.08186846115,3717.92246377416
TIC_261136679_TESS_sector_42.fits,TESS_fits,1,ephemeris_confirmed,15307,132,15175,265.016611010416,18.7931839641226,21.0878720216164,3.11320017658603,30.7395301596668,15.3402569319274,0.252434499520478,22.5089256817377,18.3732944815898,Tier 2,1,3883.16063524524,3907.06302891346
TIC_261136679_TESS_sector_43.fits,TESS_fits,1,ephemeris_confirmed,901,10,891,301.833592840639,15.1413495127657,18.2752978792443,6.54437795773637,72.4802874618938,11.7800370427893,0.330213851461675,28.5339719880932,22.1995566983151,Tier 2,1,1410.94794284836,1436.38494102765
TIC_261136679_TESS_sector_44.fits,TESS_fits,1,ephemeris_confirmed,1184,20,1164,290.440991900121,24.4087639063115,25.2773584586125,8.65799002649375,133.175167783103,21.6820085193854,0.134011332843363,12.5761198944656,11.1712145579854,Tier 1,1,1325.34557093113,1353.15762191562
TIC_261136679_TESS_sector_45.fits,TESS_fits,1,ephemeris_confirmed,1283,16,1267,275.994830001847,20.3542460354936,20.9411498774863,10.1206095904215,103.538640953912,18.6440009292206,0.0960706601913013,9.17316574251243,8.4023996923819,Tier 1,1,1653.94976251179,1682.3455012866
TIC_261136679_TESS_sector_46.fits,TESS_fits,1,ephemeris_confirmed,934,14,920,303.240240476788,15.2842885935492,16.176651691095,7.78779966769968,62.4234332830504,12.2250718566707,0.284335169941609,25.0241206983927,20.0154342686886,Tier 2,1,1599.49077831696,1623.86619638678
TIC_261136679_TESS_sector_47.fits,TESS_fits,1,ephemeris_confirmed,805,13,792,317.806320837,11.8735884719395,13.07709126818,4.16863952430492,39.0972029765161,10.0982456935919,0.192207999070721,17.5807049285224,14.9520322566613,Tier 2,1,1518.17653541882,1541.98948061678
TIC_261136679_TESS_sector_48.fits,TESS_fits,1,ephemeris_confirmed,946,17,929,336.631158810552,22.8822007383847,24.8086813809705,11.7655861520386,126.95596588454,21.5671866161606,0.0628701203363184,6.09729097089939,5.74688657467397,Tier 1,1,1628.40791293482,1652.86642977896
TIC_261136679_TESS_sector_49.fits,TESS_fits,1,ephemeris_confirmed,3111,52,3059,164.052456162911,4.97315982625469,5.31208781114918,1.14842463014645,3.42969492092933,4.75721807803413,0.0464384462913758,4.53924425322518,4.34214374290843,Tier 1,1,2036.28986299092,2059.60909792615
TIC_261136679_TESS_sector_5.fits,TESS_fits,1,ephemeris_confirmed,15105,261,14844,322.110299171952,34.0578302994098,35.5055532557062,5.67415887819822,71.7951495368926,32.089144017931,0.0632715670182215,6.13505389978239,5.78042190054888,Tier 1,1,1628.06485299787,1652.89281868689
TIC_261136679_TESS_sector_50.fits,TESS_fits,1,ephemeris_confirmed,2961,52,2909,275.69770121727,22.1536393648996,24.8722970642878,7.73742119433003,68.0510103675457,18.7079413725288,0.202236662103885,18.4183707002125,15.5536430634064,Tier 2,1,2061.85907255038,2085.53227085748
TIC_261136679_TESS_sector_51.fits,TESS_fits,1,ephemeris_confirmed,3320,48,3272,313.680465211852,22.3188267020727,23.57017629319,6.2983686274924,71.8912952016416,21.7085148103109,0.0285128669229004,2.81139404097723,2.73451602052659,Tier 1,1,2144.52395136961,2169.94012913312
TIC_261136679_TESS_sector_52.fits,TESS_fits,1,ephemeris_confirmed,3351,52,3299,274.039094571576,25.407063254907,26.3291580279926,7.35974387905264,89.5025672914579,19.0251376797734,0.398565420124679,33.5447011346391,25.1187062082078,Tier 2,1,2229.14126998304,2254.05824949584
TIC_261136679_TESS_sector_53.fits,TESS_fits,1,ephemeris_confirmed,3630,53,3577,270.41962753227,29.1623795944289,31.0335512289244,8.21860864982082,116.791896094151,28.5116922469293,0.0230841813261011,2.2821772270277,2.23125601047985,Tier 1,1,2334.29610258764,2360.54650648257
